user_id,expenses,vibe,reviews,instagram_photos,previous_destinations,favorite_activities
user_1,399.26,Budget,Perfect for relaxation and recharging.,https://instagram.com/photo5,"['Sydney', 'London', 'Bangkok']","['hiking', 'fine dining', 'beach']"
user_2,235.5,Adventure,A great place for adventure lovers!,https://instagram.com/photo2,"['Hawaii', 'Bali', 'Rome']","['skiing', 'snowboarding', 'spa']"
user_3,216.8,Budget,I didn't enjoy the busy city life.,https://instagram.com/photo2,"['Sydney', 'London', 'Bangkok']","['wine tasting', 'cycling', 'concerts']"
user_4,460.64,Budget,The mountains were peaceful and quiet.,https://instagram.com/photo1,"['Hawaii', 'Bali', 'Rome']","['wine tasting', 'cycling', 'concerts']"
user_5,350.23,Budget,A great place for adventure lovers!,https://instagram.com/photo3,"['Istanbul', 'Dubai', 'Moscow']","['hiking', 'fine dining', 'beach']"
user_6,481.99,Cultural,The mountains were peaceful and quiet.,https://instagram.com/photo2,"['New York', 'Paris', 'Tokyo']","['wine tasting', 'cycling', 'concerts']"
user_7,295.48,Cultural,Perfect for relaxation and recharging.,https://instagram.com/photo5,"['Hawaii', 'Bali', 'Rome']","['adventure sports', 'scuba diving', 'safari']"
user_8,156.16,Socializing,Loved the food and shopping downtown.,https://instagram.com/photo1,"['Hawaii', 'Bali', 'Rome']","['wine tasting', 'cycling', 'concerts']"
user_9,456.01,Luxury,Perfect for relaxation and recharging.,https://instagram.com/photo4,"['New York', 'Paris', 'Tokyo']","['shopping', 'museums', 'city tours']"
user_10,334.48,Adventure,Had an amazing time at the beach!,https://instagram.com/photo2,"['Istanbul', 'Dubai', 'Moscow']","['wine tasting', 'cycling', 'concerts']"
user_11,428.97,Budget,Perfect for relaxation and recharging.,https://instagram.com/photo4,"['Sydney', 'London', 'Bangkok']","['adventure sports', 'scuba diving', 'safari']"
user_12,224.31,Cultural,The mountains were peaceful and quiet.,https://instagram.com/photo4,"['Sydney', 'London', 'Bangkok']","['adventure sports', 'scuba diving', 'safari']"
